응급의료기관명,소재지,연락처,위도,경도
성빈센트병원,경기도 수원시 팔달구 중부대로 93,1577-8588,37.27792352,127.0274498
수원윌스기념병원,경기도 수원시 팔달구 경수대로 437,223-2233,37.26532288,127.0255443
아주대학교병원,경기도 수원시 영통구 월드컵로 164,1688-6114,37.27943857,127.0475194
분당서울대병원,경기도 성남시 분당구 구미로173번길 82,1588-3369,37.35202543,127.124485
분당제생병원,경기도 성남시 분당구 서현로180번길 20,779-0114,37.38820352,127.1217783
분당차병원,경기도 성남시 분당구 야탑로 59,780-5000,37.41046611,127.1258369
성남시의료원,경기도 성남시 수정구 수정로171번길 10,738-7801,37.44498456,127.1390577
성남정병원,경기도 성남시 수정구 수정로 76,750-6000,37.43985891,127.1290046
성남중앙병원,경기도 성남시 중원구 산성대로476번길 12,1577-7986,37.45294462,127.1620011
가톨릭대의정부성모병원,경기도 의정부시 천보로 271,1661-7500,37.75865061,127.0779506
경기도의료원 의정부병원,경기도 의정부시 흥선로 142,828-5000,37.74108821,127.0425537
의정부백병원,경기도 의정부시 금신로 322,856-8111,37.74533109,127.0621424
의정부을지대학교병원,경기도 의정부시 동일로 712,1899-0001,37.75182904,127.0506957
추병원,경기도 의정부시 평화로 650,845-7777,37.74977986,127.0451895
안양샘병원,경기도 안양시 만안구 삼덕로 9,467-9114,37.39289124,126.9248208
한림대성심병원,경기도 안양시 동안구 관평로170번길 22,380-1500,37.3916512,126.9619722
가톨릭대부천성모병원,경기도 부천시 원미구 소사로 327,1577-0675,37.48749651,126.7930328
다니엘종합병원,경기도 부천시 원미구 중동로 361,032-670-0001,37.51234797,126.7695034
부천세종병원,경기도 부천시 소사구 호현로489번길 28,1599-6677,37.48052322,126.7911666
순천향대부속부천병원,경기도 부천시 원미구 조마루로 170,032-621-5114,37.49837073,126.7621091
광명성애병원,경기도 광명시 디지털로 36,02-2680-7114,37.47366228,126.8713324
중앙대광명병원,경기도 광명시 덕안로 110,1811-7800,37.42459153,126.8859483
굿모닝병원,경기도 평택시 중앙로 338,5182-7700,36.99057685,127.1204573
박병원,경기도 평택시 송탄로 33,666-2600,37.04826398,127.057004
박애병원,경기도 평택시 평택2로20번길 3,652-2121,36.99305991,127.0890771
평택성모병원,경기도 평택시 평택로 284,1800-8800,37.00840782,127.0743384
고려대안산병원,경기도 안산시 단원구 적금로 123,412-5114,37.31885845,126.8249995
근로복지공단안산병원,경기도 안산시 상록구 구룡로 87,500-1114,37.31678675,126.8739908
대야의료재단한도병원,경기도 안산시 단원구 선부광장로 103,8040-1572,37.33405511,126.8076194
사랑의병원,경기도 안산시 상록구 예술광장로 69,439-3000,37.32692535,126.8449341
플러스의료재단 단원병원,경기도 안산시 단원구 원포공원1로 20,8040-6600,37.30022723,126.8134983
국립암센터,경기도 고양시 일산동구 일산로 323,920-0118,37.66322719,126.7833977
국민건강보험공단일산병원,경기도 고양시 일산동구 일산로 100,1577-0013,37.64547536,126.7930402
동국대일산불교병원,경기도 고양시 일산동구 동국로 27,1577-7000,37.67643542,126.8055645
명지병원,경기도 고양시 덕양구 화수로14번길 55,810-5114,37.64249197,126.8317588
인제대일산백병원,경기도 고양시 일산서구 주화로 170,910-7114,37.67427362,126.7503802
일산차병원,경기도 고양시 일산동구 중앙로 1205,782-8300,37.65413172,126.7757374
한양대구리병원,경기도 구리시 경춘로 153,1644-9118,37.60127502,127.1325073
남양주한양병원,경기도 남양주시 오남읍 양지로 47-55,510-0114,37.68231759,127.2043725
칠석의료재단 엘병원,경기도 남양주시 퇴계원읍 퇴계원로 20,1899-3377,37.64873349,127.1410487
현대병원,경기도 남양주시 진접읍 장현로 52,574-9119,37.71567395,127.1796734
오산한국병원,경기도 오산시 밀머리로1번길 16,379-8300,37.14133998,127.0755038
센트럴병원,경기도 시흥시 공단1대로 237,1588-9339,37.3368442,126.7279826
시화병원,경기도 시흥시 군자천로 381,1811-7000,37.34987552,126.7368409
신천연합병원,경기도 시흥시 복지로 57,310-6300,37.44452992,126.7893819
원광대 산본병원,경기도 군포시 산본로 321,390-2300,37.35941279,126.9336033
지샘병원,경기도 군포시 군포로 591,389-3000,37.35869318,126.9472784
강남병원,경기도 용인시 기흥구 중부대로 411,300-0114,37.27367477,127.1114343
다보스병원,경기도 용인시 처인구 백옥대로1082번길 18,8021-2114,37.23154215,127.2113984
명주병원,경기도 용인시 처인구 금령로39번길 8-6,1522-8119,37.23539578,127.2010802
용인세브란스병원,경기도 용인시 기흥구 동백죽전대로 363,5189-8511,37.27077538,127.1481873
효심의료재단용인서울병원,경기도 용인시 처인구 고림로 81,337-0114,37.24031755,127.2144905
경기도의료원 파주병원,경기도 파주시 중앙로 207,940-9100,37.75487967,126.7796358
메디인병원,경기도 파주시 금릉역로 190,943-1191,37.76107335,126.7666689
경기도의료원 이천병원,경기도 이천시 경충대로 2742,630-4200,37.28282286,127.4332383
경기도의료원 안성병원,경기도 안성시 남파로 95,8046-5000,37.01731082,127.2602916
안성성모병원,경기도 안성시 시장길 58,675-6007,37.00579266,127.2707021
김포우리병원,경기도 김포시 감암로 11,999-1000,37.63299811,126.7105568
뉴고려병원,경기도 김포시 김포한강3로 283,998-8129,37.64095689,126.6602294
원광종합병원,경기도 화성시 화산북로 21,8077-7200,37.21006294,127.0080364
한림대동탄성심병원,경기도 화성시 큰재봉길 7,8086-3000,37.21651415,127.0799502
화성디에스병원,경기도 화성시 남양읍 시청로160번길 46-13,1600-5982,37.19923124,126.8257097
화성중앙종합병원,경기도 화성시 향남읍 발안로 5,352-8114,37.1313512,126.9107797
참조은병원,경기도 광주시 광주대로 45,1600-9955,37.41093162,127.2602411
경기도의료원 포천병원,경기도 포천시 포천로 1648,539-9114,37.90309316,127.198345
일심의료재단 우리병원,경기도 포천시 소흘읍 호국로 661,542-0222,37.82748541,127.1481386
세종여주병원,경기도 여주시 청심로 47,880-7700,37.30132812,127.6267087
연천군보건의료원,경기도 연천군 전곡읍 은대성로 95,839-4001,38.02353355,127.0609624
양평병원,경기도 양평군 양평읍 중앙로 129,770-5000,37.49394768,127.5034806
충청북도충주의료원,충청북도 충주시 안림로 239-50,043-871-0114,36.97931421,127.9704037
건국대학교충주병원,충청북도 충주시 국원대로 82,043-840-8593,36.9793167,127.9290736
의료법인자산의료재단제천서울병원,충청북도 제천시 숭문로 57 (서부동),043-642-7606,37.13873679,128.2064407
의료법인명지의료재단명지병원,"충청북도 제천시 내토로 991-0 (고암동,의료법인명지의료재단명지병원)",043-640-8114,37.16343019,128.2339489
의료법인힐링의료재단옥천성모병원,충청북도 옥천군 옥천읍 성왕로 1195,043-730-7000,36.31332861,127.5720099
의료법인건명의료재단중앙제일병원,충청북도 진천군 진천읍 중앙북로 36-0 (진천성모병원),043-533-1711,36.85844453,127.4405234
충청남도공주의료원,충청남도 공주시 무령로 77 (웅진동),041-962-1111,36.45887769,127.1094955
재단법인아산사회복지재단보령아산병원,충청남도 보령시 죽성로 136 (죽정동),041-930-5114,36.38119917,126.6228347
아산충무병원,충청남도 아산시 문화로 381 (모종동),041-536-6666,36.77929242,127.0199471
충청남도서산의료원,충청남도 서산시 중앙로 149 (석림동),041-689-7000,36.77574974,126.4649807
서산중앙병원,충청남도 서산시 수석산업로 5 (수석동),041-661-1000,36.78164743,126.5041105
의료법인백제병원,충청남도 논산시 시민로294번길 14 (취암동),041-733-2191,36.1927874,127.0943649
당진종합병원,충청남도 당진시 반촌로 5-15 (시곡동),041-357-0100,36.9044083,126.6843227
충청남도홍성의료원,충청남도 홍성군 홍성읍 조양로 224,041-630-6251,36.59846502,126.6739189
의료법인예당의료재단예산종합병원,충청남도 예산군 예산읍 금오대로 94,041-330-4000,36.69122633,126.8375589
의료법인오성의료재단동군산병원,전북특별자치도 군산시 조촌로 149 (조촌동),063-440-0570,35.97754861,126.736973
전북특별자치도군산의료원,"전북특별자치도 군산시 의료원로 27 (지곡동,(지곡동, 군산의료원))",063-472-5000,35.9549142,126.7119092
의료법인대산의료재단익산병원,전북특별자치도 익산시 무왕로 969 (신동),063-840-9114,35.96170141,126.9665211
원광대학교병원,전북특별자치도 익산시 무왕로 895 (신동),063-859-1114,35.9654889,126.9629406
재단법인 아산사회복지재단 정읍아산병원,전북특별자치도 정읍시 충정로 606-22 (용계동),063-530-6000,35.5883889,126.8245558
전북특별자치도남원의료원,전북특별자치도 남원시 충정로 365 (고죽동),063-620-1114,35.43217733,127.4067661
의료법인석천재단고창병원,전북특별자치도 고창군 고창읍 화신1길 9,063-560-5600,35.43626805,126.6930973
부안성모병원,전북특별자치도 부안군 부안읍 오정2길 24,063-581-5100,35.72483088,126.7344564
제일병원,경상남도 진주시 진주대로 885 (강남동),055-750-7123,35.1793984,128.0899459
한일병원,"경상남도 진주시 범골로 17, 한일병원 지하1 1~7층 (충무공동)",055-759-7777,35.16696429,128.1285481
의료법인 문병욱의료재단 진주고려병원,"경상남도 진주시 동진로 2 (칠암동, 진주고려병원)",055-751-2500,35.17833281,128.0922349
경상국립대학교병원,경상남도 진주시 강남로 79 (칠암동),055-750-8000,35.1759944,128.0964924
새통영병원,경상남도 통영시 무전7길 192 (무전동),055-646-6000,34.86538396,128.4206559
의료법인숭인의료재단 김해복음병원,경상남도 김해시 활천로 33 (삼정동),055-330-8888,35.23076432,128.8930538
의료법인갑을의료재단갑을장유병원,경상남도 김해시 장유로 167-13 (부곡동),055-310-6000,35.2086652,128.8056169
의료법인환명의료재단 조은금강병원,경상남도 김해시 김해대로 1814-37 (삼계동),055-330-0300,35.26218335,128.8615252
강일병원,경상남도 김해시 가락로 359 (구산동),055-822-0100,35.25670273,128.8696111
의료법인 성념의료재단맑은샘병원,경상남도 거제시 연초면 거제대로 4477,055-736-1004,34.8977261,128.6436575
의료법인대우의료재단대우병원,경상남도 거제시 두모길 16 (두모동),055-680-8114,34.87195462,128.722122
의료법인 거붕 백병원,경상남도 거제시 계룡로5길 14 (상동동),055-733-0000,34.87341755,128.6275417
베데스다복음병원,경상남도 양산시 신기로 28 (신기동),055-384-9901,35.3532464,129.043612
양산부산대학교병원,경상남도 양산시 물금읍 금오로 20,055-360-1000,35.32878663,129.0064658
